time,open,high,low,close,volume
2024-04-08,69362.7,72890.4,59652.5,65615.9,2551569.246
2024-04-15,65615.9,66874.9,59541.0,64912.6,2526739.318
2024-04-22,64912.7,67222.0,62332.8,63088.3,1476245.171
2024-04-29,63088.4,64700.0,56537.7,63988.0,2244803.879
2024-05-06,63987.9,65500.0,60117.4,61455.8,1552741.238
2024-05-13,61455.7,67750.0,60750.0,66239.4,1585925.168
2024-05-20,66239.4,72132.8,66010.0,68524.3,1479821.032
2024-05-27,68524.4,70750.0,66700.5,67805.9,1099829.822
2024-06-03,67805.9,72144.0,67642.6,69667.1,1239428.871
2024-06-10,69667.1,70222.7,65052.4,66653.6,1409837.004
2024-06-17,66653.5,67280.6,63137.9,63194.9,1290985.282
2024-06-24,63194.9,63357.0,58218.0,62766.0,1464290.492
2024-07-01,62766.1,63849.0,53329.5,55830.9,2064134.321
2024-07-08,55831.0,61412.4,54243.1,60766.0,1872745.722
2024-07-15,60766.0,68351.2,60622.6,68138.0,1862437.93
2024-07-22,68138.0,69381.7,63456.7,68215.5,1681468.041
2024-07-29,68215.5,70081.0,57040.0,58144.5,2289743.689
2024-08-05,58144.5,62737.2,48888.0,58693.1,3192302.281
2024-08-12,58693.1,61839.7,55969.0,58390.0,1775042.09
2024-08-19,58390.1,65175.4,57750.0,64190.2,1613554.406
2024-08-26,64190.1,64455.8,57123.0,57268.1,1642985.336
2024-09-02,57268.1,59790.0,52510.8,54839.6,1821930.027
2024-09-09,54839.6,60597.0,54557.0,59100.5,1651627.445
2024-09-16,59100.5,64126.7,57446.3,63558.4,1711804.303
2024-09-23,63558.5,66450.0,62534.4,65568.1,1384777.693
2024-09-30,65568.2,65588.8,59815.0,62789.3,1745345.295
2024-10-07,62789.2,64448.2,58900.0,62839.8,1501647.264
2024-10-14,62839.7,69425.8,62420.0,69020.1,1654556.811
2024-10-21,69020.2,69566.0,65222.3,67992.6,1463662.761
2024-10-28,67992.7,73660.0,67446.6,68762.5,1780607.387
2024-11-04,68762.5,81699.8,66810.0,80410.0,2241649.612
2024-11-11,80409.9,93421.1,80261.2,89899.9,2784493.37
2024-11-18,89900.0,99660.0,89422.1,97960.4,1904767.833
2024-11-25,97960.5,98999.0,90866.4,97265.1,1462135.424
2024-12-02,97265.0,104630.4,90200.0,101200.0,1808426.429
2024-12-09,101200.1,105374.6,94039.7,104460.4,1473342.897
2024-12-16,104460.5,108366.8,92272.6,95153.5,1879282.076
2024-12-23,95153.4,99950.0,92464.4,93700.0,1147424.556
2024-12-30,93699.9,98949.0,91510.0,98340.2,945958.461
2025-01-06,98340.2,102762.1,91055.8,94499.9,1389880.503
2025-01-13,94499.9,106450.0,88909.0,101311.5,1711569.476
2025-01-20,101311.5,110000.0,99501.0,102560.1,1680366.755
2025-01-27,102560.0,106450.0,96029.6,97664.5,1298600.088
2025-02-03,97664.5,102456.0,91130.3,96423.6,1424336.263
2025-02-10,96423.6,98792.8,94003.9,96067.0,881010.477
2025-02-17,96067.0,99431.5,93321.6,96218.4,924636.507
2025-02-24,96218.4,96470.0,78200.2,94222.8,2408387.043
2025-03-03,94222.0,94373.4,79933.4,80688.8,2220716.652
2025-03-10,80690.7,85270.2,76560.0,82541.6,1846147.52
2025-03-17,82541.6,87500.0,81113.5,86044.2,1154005.86
2025-03-24,86044.1,88752.0,81501.4,82352.8,1203185.347
2025-03-31,82353.1,88500.0,77111.0,78390.0,1731330.812
2025-04-07,78390.1,86100.0,74457.0,83713.7,2537384.087
2025-04-14,83713.8,86443.0,83063.9,85138.8,963597.377
2025-04-21,85138.9,95769.6,85100.0,93697.1,1346100.977
2025-04-28,93697.0,97865.4,92700.0,94230.2,1002587.607
2025-05-05,94230.2,105000.1,93327.0,104072.7,1247679.932
2025-05-12,104072.7,106629.8,100678.0,106407.6,1100629.232
2025-05-19,106407.5,111959.5,102038.8,108955.9,1747774.645
2025-05-26,108956.0,110700.0,103032.1,105583.3,1162840.521
2025-06-02,105583.3,106775.0,100305.1,105676.5,991480.907
2025-06-09,105676.5,110653.6,102614.0,105534.6,1070052.276
2025-06-16,105534.7,108900.0,98115.4,100904.7,1266718.207
2025-06-23,100904.7,108499.0,99547.6,108309.8,949139.331
2025-06-30,108309.8,110484.0,105010.0,109145.8,795526.443
2025-07-07,109145.8,119655.0,107400.0,119038.3,948552.759
2025-07-14,119038.3,123300.0,115678.1,117216.0,1112132.596
2025-07-21,117216.1,120300.1,114667.3,119423.4,996667.125
2025-07-28,119423.5,119812.0,111850.0,114150.8,868856.532
2025-08-04,114150.9,119291.9,112582.4,119255.3,733737.668
2025-08-11,119255.3,124545.6,116736.3,117353.8,1012275.833
2025-08-18,117353.9,117499.4,110484.0,113446.3,926428.186
2025-08-25,113446.2,113621.3,107281.0,108208.4,872248.223
2025-09-01,108208.4,113344.3,107211.5,111076.0,847545.276
2025-09-08,111075.5,116605.7,110566.5,115210.0,727991.907
2025-09-15,115210.0,117875.2,114338.5,115183.9,635999.008
2025-09-22,115183.9,115344.6,108566.0,112119.6,771095.215
2025-09-29,112119.7,125877.3,111501.0,123426.7,964102.563
2025-10-06,123426.7,126208.5,101516.5,114894.4,1386360.101
2025-10-13,114894.5,115912.0,103470.0,106513.6,1009972.027
